id,name,absolute_magnitude_h,estimated_diameter_km_min,estimated_diameter_km_max,is_potentially_hazardous,close_approach_date,relative_velocity_kph,miss_distance_km,orbiting_body
3477940,(2009 WW7),28.9,0.004411182,0.0098637028,False,2025-03-25,26170.1299961433,50451719.209172967,Earth
3653322,(2013 UM9),24.57,0.0324007435,0.0724502651,False,2025-03-25,27699.9826266591,66654931.750507935,Earth
3740897,(2016 BC14),20.98,0.1692602495,0.3784774237,True,2025-03-25,67725.385558573,66986103.107713641,Earth
3837686,(2019 AX5),26.0,0.0167708462,0.0375007522,False,2025-03-25,23460.2596460043,53740640.573349372,Earth
3840867,(2019 GM4),23.59,0.0508809225,0.1137732014,False,2025-03-25,67897.3482321473,53340787.353007753,Earth
3844004,(2019 SP2),24.02,0.0417402433,0.0933340215,False,2025-03-25,29496.7445485299,12472641.523681691,Earth
54017226,(2020 JR3),24.0,0.0421264611,0.0941976306,False,2025-03-25,24347.1707933244,57855321.311022912,Earth
54123429,(2021 DO1),25.31,0.0230438467,0.0515276076,False,2025-03-25,55620.9012802406,47232216.971315196,Earth
54245818,(2022 CO3),25.71,0.0191670368,0.0428587972,False,2025-03-25,17538.5425270729,56190406.28420716,Earth
54256792,(2022 ER6),22.91,0.0695913044,0.1556108872,False,2025-03-25,35809.0266826623,14746789.762131018,Earth
54269063,(2022 GU1),24.22,0.0380675544,0.0851216393,False,2025-03-25,84567.746869605,61434621.266339387,Earth
54357980,(2023 JL1),27.29,0.0092588058,0.0207033192,False,2025-03-25,20074.2029905787,36811278.729372083,Earth
54381665,(2023 RF4),25.26,0.0235806068,0.0527278398,False,2025-03-25,45809.9440516408,52796477.253307832,Earth
54416724,(2023 XX12),24.76,0.0296862251,0.0663804174,False,2025-03-25,30220.0282252326,34874273.825018436,Earth
54427465,(2024 DM),24.98,0.0268259417,0.0599846292,False,2025-03-25,40801.310229209,58208201.114340058,Earth
54447953,(2024 LG5),26.62,0.012605352,0.0281864239,False,2025-03-25,28263.1328402918,53788076.532028098,Earth
3692751,(2014 TN17),21.55,0.1301832102,0.2910985075,True,2025-03-26,77281.892889026,5092456.335457734,Earth
3750678,(2016 GM135),22.32,0.0913177026,0.2041925905,False,2025-03-26,87093.6897858584,60229846.339330377,Earth
3843767,(2019 RK),25.26,0.0235806068,0.0527278398,False,2025-03-26,17450.828696339,37238134.066052962,Earth
54016462,(2020 GC1),25.25,0.0236894499,0.0529712204,False,2025-03-26,54897.8661196132,30402116.485557751,Earth
54248972,(2022 ER1),21.83,0.1144339731,0.2558821427,False,2025-03-26,63224.6415646273,70149005.889044132,Earth
54317182,(2022 UG2),27.11,0.0100590039,0.0224926165,False,2025-03-26,32140.8974479395,34770471.887208139,Earth
54520712,(2025 DW5),24.604,0.0318973774,0.0713247041,False,2025-03-26,20288.5883716042,6326744.543611611,Earth
2326388,326388 (2001 QD96),18.39,0.5578982211,1.2474983468,False,2025-03-27,58378.4208122562,35851357.442895158,Earth
3747305,(2016 ED157),24.65,0.031228777,0.0698296682,False,2025-03-27,8998.1768512405,17445279.973366928,Earth
3753305,(2016 JF29),22.7,0.0766575574,0.1714115092,False,2025-03-27,30330.8894663472,63384495.177861914,Earth
3841200,(2019 GN20),26.5,0.0133215567,0.0297879063,False,2025-03-27,75410.9130302726,31416957.304321004,Earth
54135789,(2021 GF5),23.27,0.0589596608,0.1318378096,False,2025-03-27,50362.0027071376,57326661.242895171,Earth
54224433,(2021 WN2),26.72,0.0120380177,0.0269178258,False,2025-03-27,31514.3441631933,36970871.562182097,Earth
54265625,(2022 FK1),26.47,0.013506878,0.0302022973,False,2025-03-27,69396.4640289301,53222611.78257169,Earth
54433568,(2024 GE3),26.08,0.0161642283,0.0361443134,False,2025-03-27,17924.7324347911,24824602.325956086,Earth
54521606,(2025 DV22),23.832,0.045515045,0.1017747347,False,2025-03-27,43988.0572533888,6333734.279690556,Earth
3522631,(2010 KC),24.18,0.038775283,0.0867041687,False,2025-03-28,99689.0869752073,51438746.04395647,Earth
3752012,(2016 GW221),24.76,0.0296862251,0.0663804174,False,2025-03-28,28135.2512158908,11283819.683609907,Earth
54051072,(2020 PP3),25.0,0.02658,0.0594346868,False,2025-03-28,31722.2413501481,72737376.928655598,Earth
54055115,(2020 TL3),26.0,0.0167708462,0.0375007522,False,2025-03-28,46412.0269583148,53680563.17578161,Earth
54376459,(2023 OE5),26.37,0.0141434375,0.0316256878,False,2025-03-28,10856.7173502867,17917418.181382558,Earth
54381341,(2023 RA4),24.68,0.0308003021,0.0688715693,False,2025-03-28,48265.6558070851,57028828.085174492,Earth
54413294,(2023 XW1),27.51,0.008366715,0.0187085435,False,2025-03-28,33738.4921551775,25577834.378189597,Earth
54415298,(2023 XW5),28.69,0.0048590904,0.0108652564,False,2025-03-28,46931.0212231715,44039481.801623341,Earth
54431582,(2024 FN1),26.1,0.0160160338,0.0358129403,False,2025-03-28,44726.294360588,34954912.103436868,Earth
54519691,(2025 CG4),22.555,0.0819511357,0.1832483103,False,2025-03-28,10576.0021968795,26311755.23033927,Earth
54520338,(2025 DU3),22.309,0.0917814631,0.2052295906,False,2025-03-28,48113.3906906846,19598420.170269399,Earth
54051583,(2020 QP6),20.71,0.191670368,0.428587972,False,2025-03-29,36111.0593196922,18198380.603871644,Earth
54137799,(2021 HA),25.58,0.0203495578,0.0455029946,False,2025-03-29,72854.1855633445,70353054.00281227,Earth
54471389,(2024 RW25),25.62,0.0199781365,0.0446724713,False,2025-03-29,27450.5211785669,72467203.773827078,Earth
54487277,(2024 TO2),26.0,0.0167708462,0.0375007522,False,2025-03-29,53423.2026028775,29296720.021981221,Earth
54488499,(2024 TN5),27.97,0.0067694748,0.0151370059,False,2025-03-29,23636.9560498947,34337479.282950723,Earth
54521614,(2025 DY24),23.942,0.04326682,0.0967475506,False,2025-03-29,27962.7814399576,25013951.356932273,Earth
2414800,414800 (2010 SV3),20.72,0.1907897226,0.4266187892,False,2025-03-31,40882.0372843824,23602491.025385321,Earth
3398649,(2007 YN56),23.0,0.0667659413,0.1492931834,False,2025-03-31,33000.2506167009,71833036.067935087,Earth
3667093,(2014 GT34),21.7,0.1214940408,0.2716689341,False,2025-03-31,61277.9923940036,18662502.864339703,Earth
3765641,(2016 XB2),21.54,0.1307841086,0.2924421572,False,2025-03-31,64073.9760097766,28009402.719904632,Earth
3773912,(2017 GL6),23.06,0.0649463841,0.1452245297,False,2025-03-31,56384.764530386,39192210.37622102,Earth
3836294,(2018 WE1),26.1,0.0160160338,0.0358129403,False,2025-03-31,31161.0415504993,60249226.922906321,Earth
54145462,(2021 JL6),24.73,0.0300992017,0.067303861,False,2025-03-31,21786.2469160048,45166227.452026506,Earth
54202995,(2021 TX1),27.3,0.0092162655,0.0206081961,False,2025-03-31,116664.8024157469,72417374.802740471,Earth
54203016,(2021 TZ2),24.75,0.0298232505,0.0666868155,False,2025-03-31,29581.673187857,46373400.358092681,Earth
54431986,(2024 FN3),25.35,0.0226232491,0.0505871228,False,2025-03-31,38409.5097254822,36445222.555102355,Earth
2004034,4034 Vishnu (1986 PA),18.49,0.5327886649,1.1913516723,True,2025-04-01,43128.797652765,23450607.988081923,Earth
3666925,(2014 GJ1),24.2,0.0384197891,0.0859092601,False,2025-04-01,21215.871729128,14171642.963729275,Earth
3746490,(2016 ED86),25.3,0.0231502122,0.0517654482,False,2025-04-01,57421.5398402382,62026612.096752928,Earth
3802018,(2018 FF2),21.6,0.1272198785,0.2844722965,False,2025-04-01,71182.9102001515,46523412.165398971,Earth
54134665,(2021 GN1),26.42,0.0138214936,0.0309057992,False,2025-04-01,50027.2796414192,11080614.494000071,Earth
54266059,(2022 FR3),22.64,0.0788052183,0.1762138252,False,2025-04-01,26770.84281695,2532346.128663708,Earth
54356389,(2023 HM4),27.69,0.0077011393,0.0172202709,False,2025-04-01,26272.2924887202,32074599.219823193,Earth
54419181,(2023 YH2),22.45,0.086011194,0.1923268766,False,2025-04-01,82500.5235684096,73295088.155147989,Earth
54433337,(2024 GM2),23.2,0.0608912622,0.1361570015,False,2025-04-01,65769.4421081294,72840664.384431178,Earth
54517091,(2025 BQ2),23.5,0.0530340723,0.1185877909,False,2025-04-01,40048.6100619337,24071203.382338803,Earth
54520811,(2025 DO7),22.397,0.0881363329,0.1970788316,False,2025-04-01,35563.1666191326,22538196.591551078,Earth
3394072,(2007 VZ137),21.6,0.1272198785,0.2844722965,True,2025-04-02,99470.2539463384,54315588.855377625,Earth
3647019,(2013 RU5),20.49,0.2121069879,0.4742856434,False,2025-04-02,114647.6456500583,58886435.042009664,Earth
3763937,(2016 WH),27.07,0.0102460147,0.0229107855,False,2025-04-02,63965.3321690003,33819619.836961881,Earth
3772839,(2017 FK91),20.92,0.1740022951,0.38908096,False,2025-04-02,118061.7363589633,70449092.020606585,Earth
3841704,(2019 JG1),26.61,0.0126635356,0.0283165265,False,2025-04-02,20754.8118355111,60953428.527563711,Earth
3843838,(2019 RE3),22.85,0.0715409951,0.1599705282,False,2025-04-02,62551.0563777382,41398926.806295941,Earth
3879226,(2019 UJ),26.9,0.0110803882,0.0247765013,False,2025-04-02,48726.6892136863,27311710.32800796,Earth
54049349,(2020 OG3),26.8,0.0116025908,0.0259441818,False,2025-04-02,28129.7990876836,66524804.327524388,Earth
54135787,(2021 GD5),27.2,0.0096506147,0.0215794305,False,2025-04-02,66928.550597118,49099588.345682925,Earth
54209222,(2021 TK13),25.4,0.022108281,0.0494356193,False,2025-04-02,17959.7578462534,20594775.195196539,Earth
54218591,(2021 VC9),27.06,0.0102933082,0.0230165369,False,2025-04-02,24161.2577950297,55975021.598971061,Earth
54265773,(2022 FX1),25.78,0.0185590173,0.0414992243,False,2025-04-02,37772.7032800678,28027793.89308797,Earth
54349272,(2023 FT),24.86,0.0283501249,0.0633928065,False,2025-04-02,35386.4042534919,13746738.847026593,Earth
54495427,(2024 UU2),26.23,0.0150853356,0.0337318359,False,2025-04-02,34845.1097265879,46896431.178050618,Earth
54520718,(2025 DE6),22.589,0.0806779727,0.1804014312,False,2025-04-02,30637.198670829,10196168.698890221,Earth
2299582,299582 (2006 GQ2),18.18,0.6145468212,1.3741684676,False,2025-04-03,104795.2347501442,69055016.008738723,Earth
2474163,474163 (1999 SO5),20.98,0.1692602495,0.3784774237,True,2025-04-03,26905.5324476102,10390268.509423998,Earth
3288779,(2005 QC),18.9,0.4411182,0.9863702813,False,2025-04-03,68867.0761101692,43694050.790409022,Earth
3879292,(2019 UN2),25.08,0.0256185754,0.0572848762,False,2025-04-03,63023.1968475857,59379197.335976039,Earth
54054530,(2020 SM2),28.71,0.004814542,0.0107656431,False,2025-04-03,24669.0759849814,58938723.671355237,Earth
54217965,(2021 VP6),21.57,0.1289896833,0.2884297004,False,2025-04-03,75575.3476293778,69768617.505798841,Earth
54496197,(2024 UD6),27.36,0.0089650967,0.0200465656,False,2025-04-03,14989.5900467018,34385657.321863584,Earth
3667048,(2014 GQ17),27.1,0.0101054342,0.0225964377,False,2025-04-04,49314.5137067728,39063153.93934859,Earth
3989396,(2020 CE),25.0,0.02658,0.0594346868,False,2025-04-04,46936.2482928407,52054702.363385289,Earth
54016353,(2020 FH4),28.4,0.0055533491,0.0124176661,False,2025-04-04,10789.6192532597,4898663.499753197,Earth
54099598,(2020 XT2),24.67,0.0309424699,0.069189466,False,2025-04-04,22204.7770154768,5204389.830049538,Earth
54354397,(2023 GC2),27.29,0.0092588058,0.0207033192,False,2025-04-04,22504.36021665,6612214.888476129,Earth
54354673,(2023 HR1),26.22,0.0151549664,0.033887535,False,2025-04-04,98890.2850362289,63158199.571977365,Earth
54392414,(2023 TH4),27.03,0.0104365024,0.0233367288,False,2025-04-04,61308.0917988894,65695070.063822418,Earth
54434763,(2024 HA),31.77,0.0011763999,0.0026305101,False,2025-04-04,42689.0044953378,59766102.845709371,Earth
54496409,(2024 UL8),26.6,0.0127219879,0.0284472297,False,2025-04-04,52533.949567612,55925146.087987097,Earth
3275978,(2005 GR33),22.14,0.0992098919,0.2218400624,False,2025-04-05,91815.5700356918,60596016.522136832,Earth
3386864,(2007 SQ6),22.2,0.096506147,0.2157943048,False,2025-04-05,23674.8238942297,4191999.214959867,Earth
3601673,(2012 FT35),29.2,0.0038419789,0.008590926,False,2025-04-05,49217.3298199228,44568211.178444253,Earth
3698845,(2014 WU202),26.8,0.0116025908,0.0259441818,False,2025-04-05,21340.9153033737,63275606.134562693,Earth
3699442,(2014 WP362),23.2,0.0608912622,0.1361570015,False,2025-04-05,45774.1784983874,59369123.295731943,Earth
3824993,(2018 KF1),25.8,0.0183888672,0.0411187571,False,2025-04-05,69954.2338109616,55173852.928867295,Earth
54016506,(2020 GM2),23.6,0.0506471459,0.1132504611,False,2025-04-05,89873.9200230059,50762304.957000092,Earth
54016817,(2020 HR8),26.9,0.0110803882,0.0247765013,False,2025-04-05,28331.3530434419,28473593.241880772,Earth
54519245,(2025 BC10),19.35,0.3585543342,0.8017518649,True,2025-04-05,82524.3643507536,3706238.654821611,Earth
3878573,(2019 TC2),27.9,0.0069912523,0.0156329154,False,2025-04-06,87619.852600299,70498067.341367611,Earth
54196856,(2021 RO16),26.54,0.0130784109,0.0292442157,False,2025-04-06,53682.7275790495,37016688.348314878,Earth
54268446,(2022 GO),25.74,0.0189040552,0.0422707525,False,2025-04-06,97799.0703624126,70713371.513030076,Earth
54271303,(2022 GO3),26.85,0.0113384836,0.0253536201,False,2025-04-06,54278.212776615,24558765.115791646,Earth
54353613,(2023 FQ13),22.84,0.0718712133,0.1607089186,False,2025-04-06,60032.1797410147,29256454.648246483,Earth
54483859,(2024 SA4),20.29,0.2325706875,0.5200438667,False,2025-04-06,117321.0394334825,61010500.922797209,Earth
54522923,(2025 DV40),22.485,0.0846359701,0.1892517825,False,2025-04-06,47190.5053840379,6427926.544005024,Earth
2516435,516435 (2004 FJ29),21.38,0.1407845434,0.3148038092,False,2025-04-07,59517.8717313913,39017749.160709576,Earth
3152317,(2003 GQ22),21.48,0.1344481952,0.3006353038,True,2025-04-07,32031.6196354012,7500536.839196614,Earth
3551067,(2010 VD72),21.54,0.1307841086,0.2924421572,True,2025-04-07,44145.9878778508,42217986.947817884,Earth
3728860,(2015 SC17),22.95,0.0683211199,0.1527706684,False,2025-04-07,76941.4519619255,59482628.271068736,Earth
3744157,(2016 CP247),23.6,0.0506471459,0.1132504611,False,2025-04-07,10554.5914654989,72892005.984460716,Earth
3831916,(2018 UQ1),21.95,0.1082816778,0.2421251924,True,2025-04-07,75905.1897090196,47149702.331692715,Earth
54053823,(2020 RF2),25.5,0.0211132445,0.0472106499,False,2025-04-07,98115.5836356646,58761758.770931686,Earth
54132973,(2021 FE3),24.16,0.0391340663,0.0875064325,False,2025-04-07,61127.2727833676,48429455.756025086,Earth
54155286,(2021 LM1),20.45,0.2160503512,0.4831032718,False,2025-04-07,141357.4076713327,36668670.251375927,Earth
54226400,(2021 XA1),26.98,0.0106795998,0.023880311,False,2025-04-07,58990.6402696472,74734305.967559192,Earth
